,id,gender,race,age,mask,path
0,000001,female,Asian,45,Incorrect,000001_female_Asian_45/incorrect_mask.jpg
1,000001,female,Asian,45,mask,000001_female_Asian_45/mask1.jpg
2,000001,female,Asian,45,mask,000001_female_Asian_45/mask2.jpg
3,000001,female,Asian,45,mask,000001_female_Asian_45/mask3.jpg
4,000001,female,Asian,45,mask,000001_female_Asian_45/mask4.jpg
5,000001,female,Asian,45,mask,000001_female_Asian_45/mask5.jpg
6,000001,female,Asian,45,Not Wear,000001_female_Asian_45/normal.jpg
7,000002,female,Asian,52,Incorrect,000002_female_Asian_52/incorrect_mask.jpg
8,000002,female,Asian,52,mask,000002_female_Asian_52/mask1.jpg
9,000002,female,Asian,52,mask,000002_female_Asian_52/mask2.jpg
10,000002,female,Asian,52,mask,000002_female_Asian_52/mask3.jpg
11,000002,female,Asian,52,mask,000002_female_Asian_52/mask4.jpg
12,000002,female,Asian,52,mask,000002_female_Asian_52/mask5.jpg
13,000002,female,Asian,52,Not Wear,000002_female_Asian_52/normal.jpg
14,000004,male,Asian,54,Incorrect,000004_male_Asian_54/incorrect_mask.jpg
15,000004,male,Asian,54,mask,000004_male_Asian_54/mask1.jpg
16,000004,male,Asian,54,mask,000004_male_Asian_54/mask2.jpg
17,000004,male,Asian,54,mask,000004_male_Asian_54/mask3.jpg
18,000004,male,Asian,54,mask,000004_male_Asian_54/mask4.jpg
19,000004,male,Asian,54,mask,000004_male_Asian_54/mask5.jpg
20,000004,male,Asian,54,Not Wear,000004_male_Asian_54/normal.jpg
21,000005,female,Asian,58,Incorrect,000005_female_Asian_58/incorrect_mask.jpg
22,000005,female,Asian,58,mask,000005_female_Asian_58/mask1.jpg
23,000005,female,Asian,58,mask,000005_female_Asian_58/mask2.jpg
24,000005,female,Asian,58,mask,000005_female_Asian_58/mask3.jpg
25,000005,female,Asian,58,mask,000005_female_Asian_58/mask4.jpg
26,000005,female,Asian,58,mask,000005_female_Asian_58/mask5.jpg
27,000005,female,Asian,58,Not Wear,000005_female_Asian_58/normal.jpg
28,000006,female,Asian,59,Incorrect,000006_female_Asian_59/incorrect_mask.jpg
